NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density,Outcome
Autauga County,Alabama,21559,2.55,88.7,28.3,10.9,87.5,2.3,3.8,25.4,57982,29804,15.2,23697,0.3,1.7,2.2,2.1,1.7,74.6,161200,55639,51.4,5.8,23.6,15.3,75.8,19.5,0.3,1.2,0,2.6,2.9,74,879,11265,3577,856,0,0,94,0,0,104,666340,0,93.98534602,R
Baldwin County,Alabama,84047,2.56,90.5,31.9,11.2,88.4,3.4,5,26,61756,33751,9.2,116747,1.8,2.2,3.3,3.4,13.3,77,211600,218289,51.5,5.5,21.5,20.5,85.4,8.8,0.7,0.9,0,2.6,4.6,82.9,5726,66943,21342,4374,30,0,152,0,0,891,3703387,794102,140.4144021,R
Barbour County,Alabama,9322,2.37,74.7,11.6,6.8,84.7,2.6,7.2,25.5,34990,20074,28.6,12057,6.3,4.2,2,0.7,0.7,62,86500,25026,47.4,5.3,20.9,19.1,46.3,47.7,0.4,0.5,0,2.1,4.4,45.3,431,6972,1519,441,0,0,0,0,0,62,205813,29304,27.89353269,R
Bibb County,Alabama,7259,2.85,80.9,11.3,6.8,87.7,1.6,2.4,30.3,51721,22626,18.1,9237,1.5,0.3,2.6,0.8,1.7,74.8,96400,22374,46.3,5.6,20.5,16.4,76.6,22.5,0.1,0.3,0,0.5,2.7,74.4,282,4045,1120,280,0,0,0,0,0,0,119780,18712,35.97652982,R
Blount County,Alabama,21205,2.7,82.8,13.3,7.7,91.7,4.4,7.8,34.5,48922,25457,13.7,24404,1.8,1.9,1,0.3,0.4,76.1,135300,57755,50.3,6.1,23.2,18,94,1.4,0.1,0.4,0.1,2.2,9.3,86.7,699,6764,3883,586,0,0,0,0,0,0,340887,35915,89.67624657,R
Bullock County,Alabama,3429,2.84,74.9,10.3,3.7,89.3,1.5,7.4,30.7,33866,20783,29.5,4591,3.9,0.8,3.8,1,0.6,73.8,74800,10173,45.2,5.8,22.4,16.1,26.2,68.6,0,1.3,0,0.7,8.1,21.3,110,2036,544,75,0,0,0,0,0,0,58730,4616,16.21837279,D
Butler County,Alabama,6649,2.92,86.4,16,6.4,94.8,1.9,1.8,25.9,44850,23415,19.6,10119,2.2,4,3.1,0.5,0.6,73.3,98100,19726,54.1,5.9,22.3,20.7,51.6,44.6,0.3,1.3,0,1.6,1.5,51.3,419,6229,1021,365,0,0,0,0,0,22,220594,0,25.03480281,R
Calhoun County,Alabama,44572,2.5,85.1,18.9,10,86,2.5,3.8,24.3,50128,26238,15.8,53722,2.1,2.4,3.5,1.9,1.8,70.4,121600,114324,52,5.8,21.7,17.7,73.3,21.2,0.3,0.8,0.3,2.5,3.9,71.8,2234,35684,6839,1679,0,0,100,0,0,198,1652250,246993,187.507312,R
Chambers County,Alabama,13582,2.42,82.6,14.4,7.5,92.2,1.9,2.8,23.2,43875,24088,15.4,16985,3.8,2.6,2.4,2.7,5.7,67.2,103800,33427,52.3,5.9,20.8,19.5,56.9,40,0.2,1.1,0,1,2.5,55.1,539,7354,2035,517,0,0,56,0,0,83,297074,43828,55.74284076,R
Cherokee County,Alabama,10836,2.38,82.8,12.9,7.6,90.5,1.9,2.7,29.8,42509,26231,12.9,16631,1.6,1,1,0.5,1,78.2,138500,26035,50.5,4.3,19.2,22.9,92.1,4.8,0.6,0.1,0,1.6,1.7,91.3,370,4343,1725,309,0,0,0,0,0,54,207791,21937,47.32576874,R
