NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Autauga County,Alabama,22308,2.61,90.4,29.6,11.6,90.1,2.6,3.7,27.1,68315,35332,11.4,24457,0.6,1.2,2.1,2,1.9,75.5,191800,58761,51.2,5.7,23.4,15.6,74.4,19.6,0.1,1.1,0,4.2,2.2,0.6,924,11216,3769,1499,60.5,0,180.75,0,0,267.75,666340,0,93.98534602
Baldwin County,Alabama,90802,2.53,91.6,32.6,11.3,86.8,3.5,4.9,26.6,71039,38907,10.2,125113,1.6,2.1,3.2,3.6,13,77.9,266000,233420,51.1,5.2,21.2,21.2,84,8.3,0.4,0.9,0,4.6,3.7,1.6,5992,65335,22677,4521,0,10,0,0,0,664,3703387,794102,140.4144021
Barbour County,Alabama,9016,2.43,76.5,11.9,6.6,85,3.1,7.9,25.5,39712,23378,24.2,11673,5.7,3.6,2.9,0.4,1,65,102700,24877,47.9,5.2,20.7,19.8,45.5,46.9,0.3,0.5,0,2.4,5.2,0.8,423,6085,1686,441,0,0,0,0,0,62,205813,29304,27.89353269
Bibb County,Alabama,7216,2.89,78.9,10.9,7.8,86.6,1.1,2.5,30.6,50669,24966,20.6,9046,1.4,1,2.6,1,1.7,75.7,120100,22251,46.5,5.2,21.2,16.8,75.8,20.7,0.1,0.3,0,2.6,1,1.4,298,4008,1176,2755,150.5714286,0,206,0,48.42857143,465.1428571,119780,18712,35.97652982
Blount County,Alabama,21626,2.7,81.8,14.7,6.7,88.5,4.8,7.9,34.9,57440,29053,14.2,24677,1.8,1.9,0.8,0.4,0.5,79.3,159800,59077,49.4,5.8,23,18.3,91.3,1.2,0.4,0.2,0.2,3.6,4.6,0.9,726,6765,3906,2755,150.5714286,0,206,0,48.42857143,465.1428571,340887,35915,89.67624657
Bullock County,Alabama,3450,2.78,73.4,9.4,4.7,86.5,3.8,9.4,31.3,36136,22115,27.9,4541,5.2,0.8,1.7,1.6,2.5,64.7,87700,10328,46.3,5.4,21.1,16.6,23.2,68.9,0,0.4,0,2,6.8,3.7,114,1958,575,75,0,0,0,0,0,0,58730,4616,16.21837279
Butler County,Alabama,7131,2.61,87.6,13,7,95,1.7,2.5,25.2,44429,26334,21.1,9835,1.9,3.9,3.9,0.1,0.7,70.8,94800,18981,53,5.6,22.3,21.2,51.5,44.6,0.4,1.3,0,2,1.1,0.3,430,5875,1030,365,0,0,0,0,0,22,220594,0,25.03480281
Calhoun County,Alabama,44693,2.52,85.1,19.2,8.9,86.3,2.3,3.9,24.8,54339,28227,18,53167,2.3,2.9,3.3,1.5,2.2,70.9,140500,116162,51.6,5.6,21.2,17.9,71.7,22.1,0.2,0.7,0.2,3.2,2.9,0.6,2222,34539,6971,1814,0,0,0,0,0,0,1652250,246993,187.507312
Chambers County,Alabama,13143,2.58,83.5,12.7,7.2,92,1.5,2.8,22.9,48805,27006,17.9,16427,2.7,2.2,3.3,1.6,5.6,72.2,116900,34612,52.4,6,20.8,19.7,56.7,40.8,0.1,0.2,0,1.5,1,1.1,599,7552,2108,517,0,0,56,0,0,83,297074,43828,55.74284076
Cherokee County,Alabama,9997,2.48,81.9,14.6,7,89.4,2,2.4,30,46621,28422,14.3,14687,1.2,0.7,0.9,0.3,0.9,79.7,158700,25069,51.1,4.6,18.9,23.2,91.3,4,0.5,0.1,0,3.3,1.4,0.3,369,4428,1740,309,0,0,0,0,0,54,207791,21937,47.32576874
Chilton County,Alabama,16931,2.64,82.2,14,5.2,92.4,4.1,7.8,31,62471,28497,14.5,19546,0.1,2.1,1.6,0.4,0.1,75,136000,45140,51.2,6,23.7,16.8,81.3,9.4,1.4,0.5,0.3,3.7,5.1,0.8,775,7430,3173,2755,150.5714286,0,206,0,48.42857143,465.1428571,510609,47112,64.12340869
